,status,gender,signup_method,signup_app,first_device_type,first_browser,age,id,date_account_created,booking_date
0,international,FEMALE,facebook,Web,Windows Desktop,Safari,52.2682773232,2d8fa894-4cc2-4b47-8a07-9f59602ce566,2014-09-09 01:40:43.455863,2014-10-21 07:21:22.525045
1,international,MALE,basic,Web,Windows Desktop,Safari,26.9027072541,83de4787-ada1-4958-81f6-004ac8740b1e,2014-12-28 09:10:58.918233,2015-02-15 01:54:33.103974
2,international,-unknown-,basic,Web,Windows Desktop,Firefox,46.834635951,c1941b2b-98c1-4903-9e17-66168d8df8a3,2016-05-27 18:14:31.644951,2016-06-26 02:06:24.667904
3,international,FEMALE,basic,Web,Mac Desktop,Chrome,50.677769905,0245d145-37ad-4923-b8d9-d7bb52238665,2015-06-01 23:20:52.781021,2015-07-16 11:30:41.382241
4,international,-unknown-,facebook,Web,iPhone,Safari,38.8901952486,82c32e6d-2f7e-4242-a8aa-08d0138a16d8,2015-05-09 18:25:54.356287,2015-05-25 14:37:14.014155
5,international,MALE,facebook,Web,Mac Desktop,Safari,43.3752085356,bab22cb7-2471-4aed-a78c-298f82e8de88,2016-03-01 16:50:23.186155,2016-03-31 16:22:05.828748
6,international,MALE,facebook,Web,Android Tablet,Firefox,10.0,4e16c1cd-fd84-49bb-8a03-89cdca9f6740,2014-10-12 00:26:23.998701,2014-11-21 10:06:14.907048
7,international,FEMALE,basic,Web,Mac Desktop,Chrome,10.1589847901,16479dd7-9fa7-4f82-8d0b-2cbe962958db,2014-10-20 03:02:08.545743,2014-11-27 16:50:29.814186
8,international,FEMALE,facebook,Web,Windows Desktop,Safari,52.22192941,f810cdc8-5b55-4aef-b175-c3740929d18d,2015-11-18 03:06:25.636131,2015-12-29 15:09:30.043346
9,international,FEMALE,facebook,Web,Windows Desktop,Chrome,30.1671194477,70720747-bb00-4851-be45-d2e50cf536a2,2015-02-04 14:30:45.641999,2015-03-04 20:19:20.817989
10,international,FEMALE,facebook,Web,Mac Desktop,Chrome,40.4980813904,4fb98252-fe7d-4958-9c9a-b87f760fc5a1,2014-08-03 10:11:34.083291,2014-09-21 05:59:17.511400
11,international,-unknown-,basic,Web,Mac Desktop,Chrome,29.1521636072,dfba5392-7904-4531-8d67-b23e18eba4c2,2016-04-20 10:23:03.540877,2016-06-05 10:09:42.979144
12,international,MALE,basic,Web,Mac Desktop,Firefox,45.5304253175,084ac25b-c4f0-4860-85ca-c2c9dac0843f,2015-04-11 05:15:55.344100,2015-05-21 03:32:03.597615
13,international,-unknown-,facebook,Web,iPhone,Safari,40.8492097451,c42ec651-e98d-461f-8d3e-401dae7264d4,2015-09-26 13:25:30.238139,2015-11-01 00:21:12.285251
14,international,FEMALE,facebook,Web,Mac Desktop,Chrome,43.4336055533,a625da3b-9c20-406c-9ba9-dc1f50dc2d5c,2014-10-23 19:12:13.252438,2014-11-28 13:40:19.149929
15,international,MALE,basic,Web,Mac Desktop,Chrome,37.2564821637,3647e633-c126-4e38-8d28-45b3fcb62fcf,2015-03-09 06:17:18.869024,2015-05-01 01:09:08.955635
16,international,-unknown-,facebook,Web,Windows Desktop,Firefox,24.0083025092,c5e0e473-743b-4b41-bb2c-ccf158539f52,2016-02-16 18:17:48.278741,2016-04-04 07:27:31.765139
17,international,MALE,basic,Web,Mac Desktop,IE,32.6806085884,a8f016b0-d405-4c4d-b7e9-812c8b182dd8,2016-03-28 06:16:53.920863,2016-04-27 05:38:18.658305
18,international,MALE,facebook,Web,Android Tablet,Chrome,18.6924468259,c50cacb9-0427-437d-a913-054008c9e284,2016-03-21 10:10:43.474304,2016-04-30 22:10:28.772374
19,international,FEMALE,facebook,Web,Mac Desktop,Safari,43.0614421534,abec32bc-b00a-4d78-840a-d72b64e8b7aa,2014-10-05 20:11:52.820582,2014-11-15 02:44:07.317396
20,international,-unknown-,basic,Moweb,Mac Desktop,Safari,44.4995589874,4231eb9a-d50f-46f4-823a-6673f2a4a456,2015-09-12 18:44:42.582417,2015-10-29 08:05:45.560515
21,international,FEMALE,basic,Web,Mac Desktop,-unknown-,21.5252903859,7c4e2591-258f-4d4f-b866-8625c8780ff5,2014-12-08 13:33:51.916258,2015-01-29 15:43:29.862549
22,international,MALE,facebook,Web,iPhone,Chrome,34.350234372,f949b4cb-a44f-4a65-9d4c-6b7fb27597d0,2015-02-03 01:53:08.842286,2015-03-04 03:59:38.744331
23,international,MALE,basic,Web,Windows Desktop,Safari,35.5940062454,17174543-99a3-479c-af87-b1d2e6911a68,2014-10-01 13:37:54.202816,2014-09-21 13:37:54.202816
